subject,subject_group
abstract_algebra,stem
anatomy,stem
astronomy,stem
business_ethics,social_science
clinical_knowledge,stem
college_biology,stem
college_chemistry,stem
college_computer_science,stem
college_mathematics,stem
college_medicine,stem
college_physics,stem
computer_security,stem
conceptual_physics,stem
econometrics,social_science
electrical_engineering,stem
elementary_mathematics,stem
formal_logic,humanities
global_facts,humanities
high_school_biology,stem
high_school_chemistry,stem
high_school_computer_science,stem
high_school_european_history,humanities
high_school_geography,social_science
high_school_government_and_politics,social_science
high_school_macroeconomics,social_science
high_school_mathematics,stem
high_school_microeconomics,social_science
high_school_physics,stem
high_school_psychology,social_science
high_school_statistics,stem
high_school_us_history,humanities
high_school_world_history,humanities
human_aging,stem
human_sexuality,social_science
international_law,social_science
jurisprudence,social_science
logical_fallacies,humanities
machine_learning,stem
management,social_science
marketing,social_science
medical_genetics,stem
miscellaneous,other
moral_disputes,humanities
moral_scenarios,humanities
nutrition,stem
philosophy,humanities
prehistory,humanities
professional_accounting,social_science
professional_law,social_science
professional_medicine,stem
professional_psychology,social_science
public_relations,social_science
security_studies,social_science
sociology,social_science
us_foreign_policy,social_science
virology,stem
world_religions,humanities
